game_pk,game_time_utc,game_date,venue_id,venue_name,latitude,longitude,roof_type,weather_roof_open,mlb_weather_condition,mlb_weather_temp,mlb_weather_wind,weather_time_utc,weather_temperature_2m_f,weather_relative_humidity_2m,weather_pressure_msl_hpa,weather_precipitation_mm,weather_wind_speed_10m_mph,weather_wind_direction_10m_deg,weather_wind_dir_sin,weather_wind_dir_cos,weather_precip_flag,weather_time_delta_minutes,weather_source
776218,2025-09-23T22:40:00Z,2025-09-23,5,Progressive Field,41.495861,-81.685255,Open,1.0,Clear,72,"2 mph, In From CF",2025-09-23 23:00:00+00:00,72.0,78,1014.3,0.0,2.5,317,-0.6819983600624984,0.7313537016191707,0.0,20.0,open-meteo-historical
776275,2025-09-18T17:10:00Z,2025-09-18,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Sunny,81,"3 mph, Out To CF",2025-09-18 17:00:00+00:00,83.4,39,1017.3,0.0,1.9,237,-0.8386705679454242,-0.544639035015027,0.0,10.0,open-meteo-historical
776366,2025-09-12T23:10:00Z,2025-09-12,4169,loanDepot park,25.77796236,-80.21951795,Retractable,1.0,Roof Closed,72,"0 mph, None",2025-09-12 23:00:00+00:00,78.1,87,1012.8,0.0,7.0,14,0.24192189559966773,0.9702957262759965,0.0,10.0,open-meteo-historical
776435,2025-09-06T22:10:00Z,2025-09-06,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Partly Cloudy,63,"13 mph, Out To LF",2025-09-06 22:00:00+00:00,62.9,52,1015.0,0.0,10.0,266,-0.9975640502598242,-0.06975647374412558,0.0,10.0,open-meteo-historical
776512,2025-08-31T18:10:00Z,2025-08-31,7,Kauffman Stadium,39.051567,-94.480483,Open,1.0,Partly Cloudy,78,"8 mph, In From LF",2025-08-31 18:00:00+00:00,75.5,59,1019.9,0.0,8.8,102,0.9781476007338057,-0.20791169081775934,0.0,10.0,open-meteo-historical
776590,2025-08-26T02:05:00Z,2025-08-25,2529,Sutter Health Park,38.57994,-121.51246,Open,1.0,Clear,88,"10 mph, Out To CF",2025-08-26 02:00:00+00:00,88.2,34,1007.3,0.0,8.4,195,-0.2588190451025208,-0.9659258262890683,0.0,5.0,open-meteo-historical
776685,2025-08-19T22:40:00Z,2025-08-19,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Cloudy,76,"3 mph, Out To LF",2025-08-19 23:00:00+00:00,76.8,83,1012.2,0.7,4.6,359,-0.01745240643728356,0.9998476951563913,1.0,20.0,open-meteo-historical
776744,2025-08-14T23:40:00Z,2025-08-14,3312,Target Field,44.981829,-93.277891,Open,1.0,Partly Cloudy,71,"12 mph, R To L",2025-08-14 23:00:00+00:00,77.8,69,1011.8,0.4,11.0,160,0.3420201433256689,-0.9396926207859083,1.0,40.0,open-meteo-historical
776832,2025-08-08T23:10:00Z,2025-08-08,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Clear,84,"8 mph, In From CF",2025-08-08 23:00:00+00:00,83.6,56,1017.4,0.0,7.0,186,-0.1045284632676535,-0.9945218953682733,0.0,10.0,open-meteo-historical
776912,2025-08-02T20:05:00Z,2025-08-02,2681,Citizens Bank Park,39.90539086,-75.16716957,Open,1.0,Partly Cloudy,79,"5 mph, In From CF",2025-08-02 20:00:00+00:00,79.4,38,1021.8,0.0,4.3,59,0.8571673007021123,0.5150380749100542,0.0,5.0,open-meteo-historical
777003,2025-07-26T22:10:00Z,2025-07-26,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Overcast,82,"10 mph, In From RF",2025-07-26 22:00:00+00:00,81.1,77,1013.9,0.0,4.4,207,-0.4539904997395467,-0.8910065241883679,0.0,10.0,open-meteo-historical
777073,2025-07-20T23:10:00Z,2025-07-20,5325,Globe Life Field,32.747299,-97.081818,Retractable,1.0,Roof Closed,74,"0 mph, None",2025-07-20 23:00:00+00:00,94.9,39,1012.7,0.0,11.5,183,-0.052335956242943564,-0.9986295347545738,0.0,10.0,open-meteo-historical
777161,2025-07-11T23:10:00Z,2025-07-11,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Partly Cloudy,83,"7 mph, In From RF",2025-07-11 23:00:00+00:00,87.0,48,1011.5,0.2,13.3,236,-0.8290375725550418,-0.5591929034707466,1.0,10.0,open-meteo-historical
777226,2025-07-06T17:40:00Z,2025-07-06,5,Progressive Field,41.495861,-81.685255,Open,1.0,Partly Cloudy,91,"9 mph, Out To RF",2025-07-06 18:00:00+00:00,86.5,51,1012.4,0.0,9.8,229,-0.754709580222772,-0.6560590289905073,0.0,20.0,open-meteo-historical
777314,2025-06-29T23:10:00Z,2025-06-29,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Clear,86,"8 mph, In From RF",2025-06-29 23:00:00+00:00,87.1,47,1012.5,0.0,7.4,151,0.48480962024633717,-0.8746197071393957,0.0,10.0,open-meteo-historical
